{'w': '2', 'numGen': '1000', 'K': '4', 'mutRate': '0.95', 'popSize': '100', 'N': '10', 'seedSolution': '11001111000000000000'}
Initial fitness: 0.0
2
Processing Geneeration 3, max fit: 0.0, max genome: 0b11001111000000000000
Processing Geneeration 4, max fit: 0.0, max genome: 0b11001111000000000000
Processing Geneeration 5, max fit: 0.0, max genome: 0b100000000000011001111000000000000
Processing Geneeration 6, max fit: 0.0, max genome: 0b100000000000000010011001111000000000000
Processing Geneeration 7, max fit: 0.0, max genome: 0b11001111000000000000
Processing Geneeration 8, max fit: 0.0, max genome: 0b11001111000000000000
Processing Geneeration 9, max fit: 0.0, max genome: 0b11001111000000000000
Processing Geneeration 10, max fit: 0.0, max genome: 0b1000000000000011001111000000000000
Processing Geneeration 11, max fit: 0.0, max genome: 0b1000000000000011001111000000000000
Processing Geneeration 12, max fit: 0.0, max genome: 0b11001111000000000000
Processing Geneeration 13, max fit: 0.0, max genome: 0b11001111000000000000
Processing Geneeration 14, max fit: 0.0, max genome: 0b100000000000000000011001111000000000000
Processing Geneeration 15, max fit: 0.0, max genome: 0b11001111000000000000
Processing Geneeration 16, max fit: 0.0, max genome: 0b11001111000000000000
Processing Geneeration 17, max fit: 0.0, max genome: 0b11001111000000000000
Processing Geneeration 18, max fit: 0.0, max genome: 0b11001111000000100000
Processing Geneeration 19, max fit: 0.0, max genome: 0b11001111001000000000
Processing Geneeration 20, max fit: 0.0, max genome: 0b111001111000000100000
Processing Geneeration 21, max fit: 0.0, max genome: 0b1000000000000000000011001111000000000000
Processing Geneeration 22, max fit: 0.0, max genome: 0b111001111000000100000
Processing Geneeration 23, max fit: 0.0, max genome: 0b111001111000000100000
Processing Geneeration 24, max fit: 0.0, max genome: 0b111001111000000100000
Processing Geneeration 25, max fit: 0.0, max genome: 0b1000000000000000011001111000000100000
Processing Geneeration 26, max fit: 0.0, max genome: 0b10001111000000000000
Processing Geneeration 27, max fit: 0.0, max genome: 0b10000000010001111001000001000
Processing Geneeration 28, max fit: 0.0, max genome: 0b10000000010001111001000001000
Processing Geneeration 29, max fit: 0.0, max genome: 0b10000000010001111000000001000
Processing Geneeration 30, max fit: 0.0, max genome: 0b10000010001111000000000000
Processing Geneeration 31, max fit: 0.0, max genome: 0b10000000110001111000000001100
Processing Geneeration 32, max fit: 0.0, max genome: 0b10010001111000000000000
Processing Geneeration 33, max fit: 0.0, max genome: 0b10000000010001111001000001000
Processing Geneeration 34, max fit: 0.0, max genome: 0b10000000010001111001000001000
Processing Geneeration 35, max fit: 0.0, max genome: 0b10000000010001111001000001000
Processing Geneeration 36, max fit: 0.0, max genome: 0b100000000000000000011001111000000010000
Processing Geneeration 37, max fit: 0.0, max genome: 0b100000000000000000011001111000000010000
Processing Geneeration 38, max fit: 0.0, max genome: 0b10000000010001111001000001000
Processing Geneeration 39, max fit: 0.0, max genome: 0b10000000010001111001000001000
Processing Geneeration 40, max fit: 0.0, max genome: 0b10000000010001111001000001000
